Zip Code,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Primary Property Type - Self Selected
10019,In Compliance ,78.6,76.8,203.3,201.4,79,3952.1,16.8,3935.4,Office
10022,In Compliance ,66.6,64.3,188.6,185.7,63,760.8,0,760.8,Office
10019,In Compliance ,51265,48382.1,61749.8,58282,1,2097196.5,75.5,2097121,Multifamily Housing
10016,In Compliance ,167.5,164.1,310.7,307.9,25,1285.1,716.7,568.4,Office
10014,In Compliance ,97.8,96,247,245.2,71,6714,1495.1,5219,Office
10006,In Compliance ,107.6,106.1,261.3,259.4,84,19360.4,91.4,19269,Office
10004,In Compliance ,149,149,358.8,358.8,61,28473.3,0.1,28473.2,Office
10017,In Compliance ,117.5,115.2,273.9,271.1,77,14211,59.9,14151.1,Office
10036,In Compliance ,110.8,108.7,243.8,241.2,76,8112.3,0,8112.3,Office
10017,In Compliance ,124.9,122.9,329.9,328.1,79,10512.8,42.6,10470.1,Office
10281,In Compliance ,113.6,112.6,230.9,229.5,79,14138.4,25.8,14112.6,Office
10280,In Compliance ,93,91.6,191.3,189.6,75,14211.1,0,14211.1,Office
10314,In Compliance ,53.2,52.4,150.2,149.3,76,747.7,77.4,670.3,Retail Store
10475,In Compliance ,56.9,55.8,157.3,156.2,85,734,90,644,Retail Store
10281,In Compliance ,10.4,9,171.3,170.8,80,6100.2,0,6100.2,Office
10001,In Compliance ,165.1,164.4,264.3,263.7,59,26439.2,9823.6,16615.6,Office
10036,In Compliance ,54,54.2,166.1,166.8,90,3054.3,0,3054.3,Office
10017,In Compliance ,85.3,83.4,186.8,184.1,86,2453.3,0,2453.3,Office
10036,In Compliance ,67.1,63.2,164.6,159.4,84,2961.2,0,2961.2,Financial Office
10017,In Compliance ,100.6,96.6,220.7,215,75,2731.4,0,2731.4,Office
10036,In Compliance ,114.7,113.6,287,285.8,61,13661.8,2557.4,11104.4,Office
10017,In Compliance ,97.7,95.2,204.3,201.5,66,5436,0,5436,Office
10017,In Compliance ,85.3,82.7,225.9,221.5,72,4982.7,56.2,4926.5,Office
10022,In Compliance ,93,91.3,248.2,245.5,79,5298.3,0,5298.3,Financial Office
10005,In Compliance ,132.9,129,269.1,264.5,68,12402.5,26.5,12375.9,Office
10010,In Compliance ,100.6,96.7,215.7,211.3,78,11334.2,0,11334.2,Office
10013,In Compliance ,78.8,78.8,202.6,202.6,78,11474.5,131.3,11343.2,Office
10022,In Compliance ,142.7,141,396.6,395,40,16669.8,152,16517.9,Office
11214,In Compliance ,65.6,64,168.4,166,68,656.7,128.5,528.2,Retail Store
10303,In Compliance ,43.4,43,125.4,125,82,322.8,8.9,314,Retail Store
10022,In Compliance ,82.6,79.2,192.4,187.8,75,2138.3,0,2138.3,Office
10017,In Compliance ,73.5,71.7,196.8,194.2,83,2233.7,0,2233.7,Office
10036,In Compliance ,62.2,61.8,178,178,82,5936.8,0,5936.8,Office
10022,In Compliance ,68.1,68.1,213.8,213.9,75,6301.8,0,6301.8,Office
10010,In Compliance ,102,99.6,255.4,252.9,76,9280.4,112,9168.5,Office
10036,In Compliance ,141,139.7,412.2,410.6,45,9625.8,0,9625.8,Office
10019,In Compliance ,83,81.3,198.7,197,72,2490.4,0,2490.4,Office
10036,In Compliance ,239.9,237,282.6,279.7,42,12469.4,11321.7,1147.7,Office
10022,In Compliance ,68.2,66.3,154.5,152.3,85,3988.5,57.2,3931.4,Office
10017,In Compliance ,73.7,70.1,175.3,170,85,7233.2,0,7233.2,Office
10017,In Compliance ,76.9,76.9,198,198,75,4622.3,0,4622.3,Office
10017,In Compliance ,133.4,131,298,295.1,53,29741.8,430.3,29311.6,Office
10019,In Compliance ,54,53.8,169.4,169,86,1671.8,0,1671.8,Office
11101,In Compliance ,72.9,71,226.6,220.6,66,8644.5,85.8,8558.6,Office
10022,In Compliance ,153.9,152.3,317.9,316.2,39,20898.6,80.1,20818.5,Office
10065,In Compliance ,129.6,127.7,318.6,317.1,10,602.4,0,602.4,Medical Office
10017,In Compliance ,71.3,69.8,162.6,160.8,79,2911,0,2911,Office
10005,In Compliance ,33.2,28.5,50.2,44.6,100,671.3,0,671.3,Office
10017,In Compliance ,55.9,54.6,162.9,161,89,1074.9,0,1074.9,Office
10010,In Compliance ,123,118.2,241.2,235.5,55,4714.1,71,4643,Office
10036,In Compliance ,134.6,131.3,227.3,223.7,3,7540.9,4501.2,3039.7,Multifamily Housing
10005,In Compliance ,80.9,78.2,211.9,208.7,71,7311.7,0,7311.7,Office
10022,In Compliance ,141.3,139.2,218.2,216.3,45,10815,4150.2,6664.8,Hotel
10022,In Compliance ,141.2,138.3,273.2,270.4,23,16329.8,386,15943.8,Hotel
10017,In Compliance ,78.1,76.2,210.2,207.9,82,5309.8,0,5309.8,Office
10022,In Compliance ,97,95.6,223,221.4,83,5816.3,0,5816.3,Office
10119,In Compliance ,101.9,101.4,234.6,234.1,70,16126.9,95.3,16031.6,Office
10001,In Compliance ,79.4,77.7,186.5,184.6,81,7093.6,0,7093.6,Office
10003,In Compliance ,68.2,66.8,180.4,178.9,86,6200.4,147.8,6052.6,Office
10022,In Compliance ,96.1,93.8,198.6,196,78,4066.4,0,4066.4,Office
10019,In Compliance ,82.2,80.3,228,225.8,72,2340,0,2340,Office
10022,In Compliance ,126.4,126.4,272,272,52,5182.1,0,5182.1,Office
10004,In Compliance ,105.6,103.3,242.5,239.8,79,3788.6,0,3788.6,Office
10019,In Compliance ,114.3,112.7,232.6,231.1,28,4773.1,225.1,4548,Hotel
10017,In Compliance ,99.8,97.3,212.6,209.9,78,9588.2,65.5,9522.7,Office
10019,In Compliance ,149.5,148.2,342.9,341.6,32,21132.6,0,21132.6,Office
10016,In Compliance ,91.5,89.2,200.3,196.8,78,7232.8,0,7232.8,Office
10019,In Compliance ,101,99.4,220.9,218.6,71,21445.4,0,21445.4,Office
10022,In Compliance ,64.4,61.1,177,170.2,82,3031.7,0,3031.7,Office
10019,In Compliance ,136.4,134.5,263.8,262,23,11123.2,1847.6,9275.6,Hotel
10019,In Compliance ,68.6,67.3,178.8,177.4,80,3092.2,0,3092.2,Office
10022,In Compliance ,82.2,80.6,193.1,191.2,82,3696.4,0,3696.4,Office
10022,In Compliance ,84.6,82.2,221.6,218.6,74,3520.2,0,3520.2,Office
11356,In Compliance ,88.7,85,222.9,218.7,80,918.4,198.1,720.4,Retail Store
11239,In Compliance ,109.9,107.4,226.1,223.4,77,1104.4,450,654.4,Retail Store
10309,In Compliance ,84.9,83.6,213.2,211.9,79,903.4,195.5,707.9,Retail Store
10016,In Compliance ,76.5,73.6,191.3,188.1,77,5434.3,0,5434.3,Office
10004,In Compliance ,101.1,97.9,227.9,222.7,72,7607.5,0,7607.5,Office
10022,In Compliance ,51.3,49.1,137.1,133.7,89,1091.8,0,1091.8,Office
10016,In Compliance ,228.4,225.2,494.9,491.8,21,37954.9,74.4,37880.5,Hospital (General Medical & Surgical)
10022,In Compliance ,83,80.9,215.7,212.7,74,3077.7,0,3077.7,Financial Office
10017,In Compliance ,92.2,90.9,199.3,197.2,79,2587.6,0,2587.6,Office
10022,In Compliance ,128.6,123.3,305.5,299.1,22,884,0,884,Office
10019,In Compliance ,70.2,68.8,186.5,185.1,81,4948.9,111.1,4837.8,Office
10017,In Compliance ,93.4,90.3,200.5,197.1,67,3929.2,0,3929.2,Office
10022,In Compliance ,90.5,88.3,218.8,216.5,60,14801.3,0,14801.3,Office
10036,In Compliance ,68,66.7,180.5,179,87,2927.5,26.5,2901,Financial Office
10019,In Compliance ,90.6,89,254.1,251.9,75,6007.7,288.8,5719,Office
10019,In Compliance ,113.6,113.3,210,209.4,68,15841.8,3775.7,12066.1,Office
10022,In Compliance ,61.7,59.6,193.7,187.1,78,1260.7,0,1260.7,Office
10011,In Compliance ,70.8,68.9,171.5,169.5,75,566.3,142.2,424.2,Office
10001,In Compliance ,100.4,97.9,208.6,205.5,80,5281.9,229.3,5052.6,Office
10022,In Compliance ,38.8,38.9,121.7,122.3,97,727.7,0,727.7,Office
11355,In Compliance ,295.3,292.1,555.1,550.6,53,11585.9,5827.4,5758.5,Hospital (General Medical & Surgical)
10022,In Compliance ,72.1,72.1,207.7,208.1,72,1703.2,83.3,1619.9,Office
10019,In Compliance ,79.8,78.2,210,208.1,74,11430.6,84,11346.5,Office
10003,In Compliance ,252.3,244.8,538.9,531,23,6348.7,0,6348.7,Hospital (General Medical & Surgical)
10019,In Compliance ,125.1,121.9,258.2,254.3,47,2957.7,0,2957.7,Office
10128,In Compliance ,97.6,97.6,300.5,300.5,37,1004,19.2,984.8,Office
10038,In Compliance ,65.1,63.6,166,164.2,85,5008,35.8,4972.2,Office
10036,In Compliance ,102.3,100.5,273.9,272.3,67,7698.9,173,7525.9,Office
10013,In Compliance ,93,90.6,222.9,220.3,91,2276.5,618.8,1657.7,Office
10013,In Compliance ,70.6,65,162.9,157.3,82,2332.4,811,1521.4,Office
10065,In Compliance ,69.5,69.5,218.4,218.4,69,1414.8,0,1414.8,Office
10022,In Compliance ,138.4,138.4,287.6,287.6,42,5161.9,1507.7,3654.2,Office
10018,In Compliance ,108.9,99.9,219.5,208.2,67,1025.4,507.8,517.6,Office
10013,In Compliance ,61.6,58.9,133.7,130.3,92,1206.4,514.9,691.5,Office
11368,In Compliance ,83.2,80.5,136.2,133.4,54,681.5,423.5,258,Multifamily Housing
10065,In Compliance ,121.9,115.4,230.2,223.3,49,2539.2,1241.5,1297.7,Hotel
10017,In Compliance ,107.9,106.7,255.3,253.8,51,10529.8,0,10529.8,Financial Office
10001,In Compliance ,127.5,127.5,206.6,206.6,51,12549.7,220.2,12329.5,Hotel
10022,In Compliance ,127.2,126.5,294.3,292.3,57,3131.6,0,3131.6,Office
10280,In Compliance ,95.1,95.1,130.6,130.6,69,2513.8,1956.1,557.6,Multifamily Housing
10282,In Compliance ,89.9,89.9,151.5,151.5,27,1676.8,997.2,679.6,Multifamily Housing
10282,In Compliance ,108.7,107.9,182,181.2,8,2456.7,1475.3,981.5,Multifamily Housing
10010,In Compliance ,99.5,96.6,177.6,174.9,23,1800.7,975.7,825,Multifamily Housing
10314,In Compliance ,42.5,40.5,107.9,104.8,90,639.2,162.4,476.8,Retail Store
11226,In Compliance ,70,65.2,146.4,141.8,72,893.9,351,542.9,Retail Store
10022,In Compliance ,59.6,59,138.6,137.2,89,2257.3,0,2257.3,Office
10001,In Compliance ,231.1,227.8,487.6,484.7,36,14751.1,40.8,14710.3,Hospital (General Medical & Surgical)
10025,In Compliance ,125.1,116.7,287.7,280.1,97,10919.9,3823,7096.9,Hospital (General Medical & Surgical)
10006,In Compliance ,79.3,77.8,208.5,206.8,79,2260.1,17.5,2242.6,Office
10005,In Compliance ,125.1,122.6,262.7,258.9,51,8040.3,99.2,7941,Office
11234,In Compliance ,117.9,116.1,287,285.1,100,1126.5,277.1,849.4,Hospital (General Medical & Surgical)
10457,In Compliance ,68.8,66.3,164,162.3,86,892.9,237.3,655.6,Office
10001,In Compliance ,56.4,56,175.4,174.5,83,4718.7,0,4718.7,Office
10022,In Compliance ,132.8,132.8,281.8,281.8,53,17227.7,147.6,17080.1,Office
10022,In Compliance ,94.6,90.4,229,223.4,63,2137.8,0,2137.8,Office
10007,In Compliance ,60.7,59.1,156.8,154.7,86,5856.9,0,5856.9,Office
10022,In Compliance ,136.5,134.8,296.8,294.9,50,19018.3,0,19018.3,Office
10475,In Compliance ,50.9,50.6,152.8,153.1,75,552.4,23.9,528.6,Retail Store
10032,In Compliance ,436,432.4,830.3,827.7,1,7859.3,3840.8,4018.5,Office
10020,In Compliance ,113.2,112.2,232.8,231.4,59,5751,0,5751,Office
10112,In Compliance ,160.4,154.8,313.9,307,23,1269.2,0,1269.2,Office
10020,In Compliance ,142.2,139.3,293.6,290.4,34,12376.2,0,12376.2,Office
10020,In Compliance ,131.9,130.6,432.5,431.5,22,34711.2,0,34711.2,Office
10016,In Compliance ,472.9,468,591.4,584.7,2,5839.3,5033.3,806,Office
10014,In Compliance ,83,81.6,233.9,232.5,64,4143.1,18.9,4124.2,Office
10001,In Compliance ,46.2,44.6,83,81.4,99,2293.2,1394.2,899.1,Office
10038,In Compliance ,78,75.4,200,197.4,63,1565.8,390.1,1175.7,Office
10019,In Compliance ,100.5,96.9,219.5,215.1,77,540.4,106.2,434.2,Office
10017,In Compliance ,61.5,59.6,169.7,167.3,83,1140.5,0,1140.5,Office
10016,In Compliance ,153.6,153.6,267.1,267.1,1,2334.9,1320.5,1014.5,Multifamily Housing
10016,In Compliance ,119.8,118.6,255.1,253.3,1,623.3,233.7,389.6,Multifamily Housing
10016,In Compliance ,53.6,51.5,96.5,94.3,88,381.9,228.8,153.1,Multifamily Housing
10028,In Compliance ,84.7,83.3,140.7,139.7,39,740,456.2,283.8,Multifamily Housing
10003,In Compliance ,72.3,67.8,91.9,87.3,94,1406.8,1219.8,187,Multifamily Housing
10014,In Compliance ,99.1,94.1,145.9,140.7,29,603.4,432.5,170.9,Multifamily Housing
10022,In Compliance ,78.1,75.5,142.1,139,38,699.4,8.2,691.3,Multifamily Housing
10021,In Compliance ,69.8,67.1,129.6,126.3,43,769,5.6,763.3,Multifamily Housing
10028,In Compliance ,99.3,95,164,158.8,19,2036.1,25.9,2010.2,Multifamily Housing
10017,In Compliance ,258.7,258.7,310.5,310.8,1,2517.6,2245.4,272.2,Multifamily Housing
10017,In Compliance ,11619.8,11614.9,12297.8,12291.9,1,105756.1,104228.2,1527.9,Multifamily Housing
10019,In Compliance ,148.9,144.7,241.7,237.1,1,2132.8,10.1,2122.7,Multifamily Housing
10028,In Compliance ,35,35.2,97.8,98.3,91,254.8,29,225.8,Multifamily Housing
10022,In Compliance ,71.4,68.3,146.4,142.7,17,969,3.9,965.1,Multifamily Housing
10021,In Compliance ,154.6,146.8,242.2,233.2,2,1495.7,36.8,1458.9,Multifamily Housing
10021,In Compliance ,20.1,19.3,34.8,34,100,234,133.4,100.6,Multifamily Housing
10128,In Compliance ,96.8,95.7,173,169.8,25,644.9,390.7,254.2,Multifamily Housing
11355,In Compliance ,253.1,253.9,549.8,552.2,9,3005.7,1069.9,1935.8,Hospital (General Medical & Surgical)
10028,In Compliance ,80.8,78.5,129.7,127.5,53,1563.2,999.4,563.8,Multifamily Housing
10065,In Compliance ,124.9,124.9,210.8,210.8,7,1181.4,700.9,480.5,Multifamily Housing
10128,In Compliance ,78.6,75.8,132.4,129.8,23,1532.3,911.2,621.1,Multifamily Housing
10023,In Compliance ,83.6,83.2,129.2,128.6,50,3116.3,2146.4,969.9,Multifamily Housing
10021,In Compliance ,80.7,80.5,122.4,122,58,604.1,448.6,155.5,Multifamily Housing
10021,In Compliance ,50.1,48.4,85.1,83.4,90,369.5,241.1,128.4,Multifamily Housing
10021,In Compliance ,81.8,81.9,133.6,133.9,46,1004.5,670.9,333.6,Multifamily Housing
10023,In Compliance ,140.9,133,229.6,221.8,1,2231.2,1425.6,805.6,Multifamily Housing
10451,In Compliance ,99.4,93.9,126.2,120.8,56,2210.2,1915.5,294.8,Multifamily Housing
10019,In Compliance ,82.1,80.2,124,121.7,84,430.3,319.3,111,Multifamily Housing
10017,In Compliance ,123,118,306.2,299,19,815.8,0.1,815.8,Office
10017,In Compliance ,185.9,181.5,372.8,366.9,11,893.3,189.7,703.6,Office
10022,In Compliance ,116.5,110.3,234.4,226.2,48,700.6,0,700.6,Office
10019,In Compliance ,91.8,90.3,235.6,234,64,4300.6,0,4300.6,Office
10022,In Compliance ,82,80.2,210.7,208.8,18,368.4,71.2,297.1,Office
10013,In Compliance ,59.2,55.4,135.9,131.9,91,420.6,0,420.6,Office
10013,In Compliance ,92.6,89.7,245,243,59,2583.2,426.2,2157,Office
10014,In Compliance ,109.8,107.3,287.8,284.6,50,2253.4,409.4,1844,Office
10014,In Compliance ,63.5,60,139.9,136.3,88,1689.2,577.7,1111.4,Office
10013,In Compliance ,80.4,77.8,198.9,195.8,77,6328.6,1821.9,4506.7,Office
10462,In Compliance ,124.4,119.1,216.8,211.3,64,1067.2,601.4,465.8,Senior Care Community
10036,In Compliance ,113.1,111.4,241.8,240.2,39,6599.7,332.8,6266.9,Hotel
10003,In Compliance ,66,64,175.3,173.6,74,1836.5,382.6,1453.8,Office
10017,In Compliance ,103.3,100.2,261.1,256.6,46,2617.4,0,2617.4,Office
10065,In Compliance ,45.7,45.6,96.5,96,81,2895.6,1185.3,1710.3,Multifamily Housing
10017,In Compliance ,73.6,70.7,182.4,179.7,62,720.1,0,720.1,Office
10041,In Compliance ,113.5,112.8,286.3,285.5,57,32076.6,163.9,31912.7,Office
10022,In Compliance ,83.4,81.2,207.1,205.6,64,448.9,0,448.9,Office
10453,In Compliance ,85.3,82.6,112.9,110,72,522.8,423.2,99.6,Multifamily Housing
10011,In Compliance ,104.5,101.9,273.1,270.3,41,542.2,96.5,445.7,Office
11201,In Compliance ,172.5,172.5,475.3,475.3,96,6725.9,858.1,5867.8,Office
10022,In Compliance ,135.4,129.1,329.6,321.3,36,3866.9,0,3866.9,Office
10016,In Compliance ,235,233.1,636.6,634.3,7,2014.7,0,2014.7,Medical Office
10016,In Compliance ,98.8,93.3,206.1,200.1,78,1305.9,584.5,721.5,Office
10013,In Compliance ,74.8,71.7,160.4,157.2,94,1976.3,877,1099.3,Office
10014,In Compliance ,57.6,55.1,164.8,162.3,85,1556.3,186,1370.4,Office
10013,In Compliance ,113.8,108.8,262.7,257.4,50,1757.5,157.7,1599.8,Office
10013,In Compliance ,109.7,105.5,277.2,272.9,71,2656.7,714,1942.7,Office
10022,In Compliance ,126.9,124.6,269.2,265.4,37,1979.4,0,1979.4,Office
10017,In Compliance ,72.6,70.1,160.1,158.1,75,958.3,393.9,564.4,Office
10460,In Compliance ,90.3,87,116.6,113.4,78,565.3,481.2,84,Multifamily Housing
10456,In Compliance ,82.5,82.2,117.2,116.5,78,318.2,238,80.2,Multifamily Housing
10460,In Compliance ,91.6,87.8,146.9,143,9,530.1,369.1,161,Multifamily Housing
10452,In Compliance ,88,88,116.9,116.9,70,358.8,296.6,62.1,Multifamily Housing
10452,In Compliance ,99.5,96.3,132.2,128.6,46,412.4,341.4,71,Multifamily Housing
10022,In Compliance ,70.1,67.5,147.5,144.4,90,356.3,0,356.3,Office
10001,In Compliance ,65.6,61.9,134.8,129.9,53,657.7,269,388.7,Multifamily Housing
10001,In Compliance ,89.8,87.4,225.4,223.2,77,4708.4,1278.8,3429.6,Office
11101,In Compliance ,68.7,67.3,159.2,158.3,22,616.9,181.2,435.7,Distribution Center
11356,In Compliance ,462.2,462.2,674.1,674.1,1,4358.5,3159.8,1198.7,Non-Refrigerated Warehouse
10019,In Compliance ,72.1,70.9,210.8,208.3,67,2267.5,0,2267.5,Office
10036,In Compliance ,48.6,44.1,84.8,80.2,85,212,134,78,Office
10003,In Compliance ,75.4,72.6,127.9,125,85,317.1,206.9,110.2,Office
10011,In Compliance ,42.8,40.7,103.7,102,98,371.7,117.5,254.1,Office
10024,In Compliance ,81.4,76.2,130.8,125.5,63,1079.7,753.8,325.9,Multifamily Housing
10018,In Compliance ,77.9,72.4,131.6,125.9,86,875.8,562.7,313.1,Office
10075,In Compliance ,83.8,79.9,138.2,134.1,52,304.6,189.3,115.3,Multifamily Housing
10032,In Compliance ,81.5,77.5,110.5,106.2,87,393.2,310.3,82.9,Multifamily Housing
10031,In Compliance ,88.3,85,120.3,116.8,95,339.9,269.9,70,Multifamily Housing
10023,In Compliance ,84.5,83.3,192.6,189.7,22,486.9,150.8,336.1,Hotel
10019,In Compliance ,88.4,85.6,149.8,146.3,65,2499.4,55.5,2443.8,Residence Hall/Dormitory
10032,In Compliance ,19,18.9,49.5,49.3,100,75.2,13.5,61.6,Multifamily Housing
10007,In Compliance ,40798.6,37121.9,49164.4,44741,1,208644.5,0,208644.5,Office
10065,In Compliance ,91.2,87,155.3,151.2,27,544.3,318.2,226.1,Multifamily Housing
11101,In Compliance ,84,80.6,112.5,108.9,69,354,282.9,71.1,Multifamily Housing
10021,In Compliance ,366.3,347.7,428.7,409.4,1,7211.2,6582.8,628.4,Multifamily Housing
10013,In Compliance ,42989.9,40996.4,51829.3,49431.5,1,799514.7,0,799514.7,K-12 School
10016,In Compliance ,80.7,77.3,208.5,203.4,73,4160,0,4160,Office
10005,In Compliance ,107.6,103.8,261.8,256.6,51,1593.1,0,1593.1,Office
10018,In Compliance ,75.4,72.3,192.5,189.4,78,5702.8,1462.3,4240.5,Office
10468,In Compliance ,88.7,84.2,122.4,117.8,57,465,359.6,105.4,Multifamily Housing
10468,In Compliance ,111.8,109.2,144.7,141.8,26,498.8,418.7,80.1,Multifamily Housing
10457,In Compliance ,83.4,80.2,132.3,129.1,60,754.5,490.1,264.3,Multifamily Housing
10453,In Compliance ,77.7,75.2,88.9,86.2,97,835.6,778.1,57.5,Multifamily Housing
10452,In Compliance ,79.3,74.8,98.8,94.3,80,1178.6,1036.3,142.3,Multifamily Housing
10451,In Compliance ,113.2,113.2,156.7,156.7,37,453.2,351.4,101.8,Multifamily Housing
10468,In Compliance ,82.6,76.9,123.9,117.6,70,388.5,271.9,116.6,Multifamily Housing
10019,In Compliance ,80.8,78.4,123.8,121.3,65,388.5,264.6,123.9,Multifamily Housing
10460,In Compliance ,71.2,71.2,97.3,97.3,98,431.1,337.2,93.9,Multifamily Housing
10454,In Compliance ,13.7,12.7,20.5,19.4,92,191.8,134.8,57.1,Non-Refrigerated Warehouse
10017,In Compliance ,98.5,96,261.5,258.4,49,2680.5,0,2680.5,Office
10003,In Compliance ,236.2,229.9,463.8,457.4,58,15364.9,2743.9,12621,Hospital (General Medical & Surgical)
10010,In Compliance ,91.8,89.8,210,208.7,63,1352.7,509.5,843.2,Office
10014,In Compliance ,64.2,61.6,141.6,138.1,65,2960.7,1050.2,1910.5,Multifamily Housing
10014,In Compliance ,87.7,84.6,149,145.7,37,676.3,397,279.3,Multifamily Housing
10014,In Compliance ,63.2,60.9,88.2,85.8,91,408.3,311.9,96.5,Multifamily Housing
10019,In Compliance ,99.7,96.8,165.9,162.7,26,1280.4,858.3,422.1,Multifamily Housing
11109,In Compliance ,97.8,93.1,185.4,180.2,28,3289,1626.8,1662.1,Multifamily Housing
10038,In Compliance ,73.3,71.3,154,150.9,30,2701.3,1046.6,1654.8,Multifamily Housing
10456,In Compliance ,69.5,66,113.8,109.4,65,618.4,383.7,234.7,Multifamily Housing
10459,In Compliance ,114.6,109.8,159.8,154.7,45,452.2,345.9,106.4,Multifamily Housing
11224,In Compliance ,97.6,94.5,232.3,223.6,3,1055.2,282.8,772.4,Multifamily Housing
11201,In Compliance ,95,95.1,143.7,144,11,1588.9,1108.3,480.6,Multifamily Housing
10001,In Compliance ,99.2,94.2,243,238.4,80,793.8,240.7,553,Office
10458,In Compliance ,132.6,127.6,170.9,165.3,64,544.3,466.4,77.9,Multifamily Housing
10453,In Compliance ,73.9,71.3,106.4,103.9,98,447.2,348.2,99,Multifamily Housing
10019,In Compliance ,67.6,64.2,164.7,161.2,70,413.2,0,413.2,Office
10453,In Compliance ,127.7,119.8,170,162.1,59,593.9,496.2,97.7,Multifamily Housing
10452,In Compliance ,97.4,93.5,125.6,121.6,90,597.8,511.9,85.9,Multifamily Housing
10453,In Compliance ,108.9,105.5,141.9,138.4,83,431.4,356.7,74.7,Multifamily Housing
10456,In Compliance ,100.7,96.7,133.8,129.8,90,386.6,322.6,64.1,Multifamily Housing
10453,In Compliance ,84,80.5,119.9,116.3,92,456.8,358.9,97.9,Multifamily Housing
10452,In Compliance ,98.7,96.4,132.8,130.6,91,331.2,264.1,67.1,Multifamily Housing
10306,In Compliance ,99.2,97.4,170.2,168.4,77,334.4,193.3,141.1,Senior Care Community
10001,In Compliance ,64.1,63.3,165.2,164.9,78,1834.8,349.8,1485,Office
10301,In Compliance ,60.9,59.7,81.6,80.2,96,275.1,221.6,53.5,Multifamily Housing
10026,In Compliance ,36.1,36.2,76.5,76.7,88,246.6,93.8,152.8,Multifamily Housing
11101,In Compliance ,52.3,50.4,101.4,98.6,78,535.3,248.1,287.2,Multifamily Housing
10028,In Compliance ,68.4,66.7,159.3,157.6,9,779.5,40.5,739,Multifamily Housing
10022,In Compliance ,74.7,65.6,104.2,95.1,84,499.9,396.6,103.3,Multifamily Housing
10028,In Compliance ,41.2,41.2,128.3,128.3,53,3158.9,4.6,3154.3,Multifamily Housing
10016,In Compliance ,71.4,68.9,170.5,168.4,72,721.3,239.6,481.7,Office
10018,In Compliance ,64.6,64.8,164.2,164.9,78,972,253.7,718.2,Office
